"LastWriteTime","Length","FullName"
"25-8-2026 15:47:34","3748","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\engineering-principles-matrix.csv"
"25-8-2026 15:54:25","164582","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\causal-engineering-extraction-28-chapters.md"
"25-8-2026 16:07:24","69077","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\extraction-parts\part-1.md"
"25-8-2026 16:07:24","70604","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\extraction-parts\part-2.md"
"25-8-2026 16:07:24","24223","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\extraction-parts\part-3.md"
"27-8-2026 22:51:05","14419","C:\Users\joepk\Downloads\microgreens-erp\database\migrations\2026_08_27_create_b01_allocation_foundation.sql"
"28-8-2026 00:56:38","4434","C:\Users\joepk\Downloads\microgreens-erp\__pycache__\tmp_b01_cross_batch_spatial_test.cpython-314.pyc"
"28-8-2026 01:04:43","3639","C:\Users\joepk\Downloads\microgreens-erp\__pycache__\tmp_b01_cancelled_spatial_release_test.cpython-314.pyc"
"28-8-2026 01:06:59","1762","C:\Users\joepk\Downloads\microgreens-erp\__pycache__\tmp_b01_second_proposal_test.cpython-314.pyc"
"28-8-2026 01:14:25","3708","C:\Users\joepk\Downloads\microgreens-erp\__pycache__\tmp_b01_state_transition_test.cpython-314.pyc"
"28-8-2026 01:16:09","3127","C:\Users\joepk\Downloads\microgreens-erp\__pycache__\tmp_b01_formal_lifecycle_test.cpython-314.pyc"
"28-8-2026 13:22:43","4720","C:\Users\joepk\Downloads\microgreens-erp\public\invalidate_brix_reading.php"
"28-8-2026 13:22:53","3985","C:\Users\joepk\Downloads\microgreens-erp\app\includes\audit.php"
"28-8-2026 13:23:00","1517","C:\Users\joepk\Downloads\microgreens-erp\database\migrations\2026_08_28_create_audit_events.sql"
"28-8-2026 19:10:41","28310","C:\Users\joepk\Downloads\microgreens-erp\public\add_brix_measurement.php"
"29-8-2026 12:27:57","856","C:\Users\joepk\Downloads\microgreens-erp\database\migrations\2026_08_29_create_b02_findings.sql"
"29-8-2026 12:35:22","2548","C:\Users\joepk\Downloads\microgreens-erp\app\includes\b02_engine.php.bak"
"29-8-2026 19:21:35","19238","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\Nederlands_boek\04_why-does-temperature-change-biology.md"
"29-8-2026 19:52:55","1986","C:\Users\joepk\Downloads\microgreens-erp\database\migrations\2026_08_29_create_b04_entity_links.sql"
"29-8-2026 23:27:55","9377","C:\Users\joepk\Downloads\microgreens-erp\app\b04_entity_linkage.php"
"30-8-2026 00:34:00","28259","C:\Users\joepk\Downloads\microgreens-erp\__pycache__\tmp_b01_allocation_engine.cpython-314.pyc"
"30-8-2026 00:34:00","3290","C:\Users\joepk\Downloads\microgreens-erp\__pycache__\tmp_b01_atomic_rollback_test.cpython-314.pyc"
"30-8-2026 12:15:47","306","C:\Users\joepk\Downloads\microgreens-erp\database\migrations\2026_08_30_enforce_audit_immutability.sql"
"30-8-2026 14:20:38","6248","C:\Users\joepk\Downloads\microgreens-erp\app\b05_production.php"
"30-8-2026 14:27:24","1754","C:\Users\joepk\Downloads\microgreens-erp\database\migrations\2026_08_30_create_b05_production_batches.sql"
"30-8-2026 21:44:14","1889","C:\Users\joepk\Downloads\microgreens-erp\database\migrations\2026_06_29_create_core_baseline.sql"
"4-9-2026 20:02:01","0","C:\Users\joepk\Downloads\microgreens-erp\MicrogreensERP_Development.sqlite"
"5-9-2026 22:12:59","1075","C:\Users\joepk\Downloads\microgreens-erp\database\migrations\2026_09_05_create_b06_general_measurements.sql"
"7-9-2026 21:31:36","4004","C:\Users\joepk\Downloads\microgreens-erp\app\b06_measurements.php"
"7-9-2026 22:02:33","1547","C:\Users\joepk\Downloads\microgreens-erp\database\migrations\2026_09_07_create_b07_production_outputs.sql"
"7-9-2026 22:06:16","5505","C:\Users\joepk\Downloads\microgreens-erp\app\b07_production_output.php"
"7-9-2026 22:08:12","413696","C:\Users\joepk\Downloads\microgreens-erp\backups\backup_2026-09-07_B07_complete.sqlite"
"7-9-2026 22:18:55","1859","C:\Users\joepk\Downloads\microgreens-erp\database\migrations\2026_09_07_create_b08_freeze_dry_processes.sql"
"7-9-2026 22:32:45","9897","C:\Users\joepk\Downloads\microgreens-erp\public\dashboard_full.php"
"7-9-2026 22:35:29","2354","C:\Users\joepk\Downloads\microgreens-erp\public\batch_output_dashboard.php"
"8-9-2026 10:58:23","2053","C:\Users\joepk\Downloads\microgreens-erp\database\migrations\2026_09_08_create_b08_freeze_dry_processes.sql"
"8-9-2026 11:02:13","7010","C:\Users\joepk\Downloads\microgreens-erp\app\b08_freeze_dry.php"
"8-9-2026 11:04:13","438272","C:\Users\joepk\Downloads\microgreens-erp\backups\backup_2026-09-08_11-07_B08_complete.sqlite"
"8-9-2026 11:07:41","1461","C:\Users\joepk\Downloads\microgreens-erp\public\api\start_freeze_dry.php"
"8-9-2026 11:07:52","962","C:\Users\joepk\Downloads\microgreens-erp\database\migrations\2026_09_08_add_b08_quality_checks.sql"
"8-9-2026 11:19:54","1558","C:\Users\joepk\Downloads\microgreens-erp\database\migrations\2026_09_09_create_b09_packaging_units.sql"
"8-9-2026 11:19:54","4634","C:\Users\joepk\Downloads\microgreens-erp\app\b09_packaging.php"
"8-9-2026 11:21:58","462848","C:\Users\joepk\Downloads\microgreens-erp\backups\backup_2026-09-08_11-26_GOLDEN_STATE.sqlite"
"8-9-2026 11:27:28","1036","C:\Users\joepk\Downloads\microgreens-erp\database\migrations\2026_09_10_create_b10_lab_results.sql"
"8-9-2026 11:27:28","1429","C:\Users\joepk\Downloads\microgreens-erp\app\b10_lab_quality.php"
"8-9-2026 11:29:49","281","C:\Users\joepk\Downloads\microgreens-erp\database\migrations\2026_09_10_create_b11_orders.sql"
"8-9-2026 11:29:49","132","C:\Users\joepk\Downloads\microgreens-erp\README.md"
"8-9-2026 11:39:41","10976","C:\Users\joepk\Downloads\microgreens-erp\public\dashboard.php"
"9-9-2026 19:59:52","15","C:\Users\joepk\Downloads\microgreens-erp\file"
"9-9-2026 20:15:59","319","C:\Users\joepk\Downloads\microgreens-erp\temp_html.txt"
"9-9-2026 20:32:42","6826","C:\Users\joepk\Downloads\microgreens-erp\app\b01_allocation_engine.php"
"9-9-2026 20:37:04","2793","C:\Users\joepk\Downloads\microgreens-erp\app\includes\b02_engine.php"
"9-9-2026 20:45:19","647168","C:\Users\joepk\Downloads\microgreens-erp\database\MicrogreensERP_Live.sqlite"
"9-9-2026 20:47:55","475136","C:\Users\joepk\Downloads\microgreens-erp\database\MicrogreensERP_Development.sqlite"
"9-9-2026 20:47:55","40960","C:\Users\joepk\Downloads\microgreens-erp\database\MicrogreensERP_Live_Milestone1.sqlite"
"9-9-2026 20:47:56","53248","C:\Users\joepk\Downloads\microgreens-erp\database\MicrogreensERP_Live_Milestone2.sqlite"
"9-9-2026 20:47:56","53248","C:\Users\joepk\Downloads\microgreens-erp\database\MicrogreensERP_Live_Milestone3.sqlite"
"9-9-2026 20:47:57","45056","C:\Users\joepk\Downloads\microgreens-erp\database\MicrogreensERP_Live_Milestone4.sqlite"
"9-9-2026 20:47:57","45056","C:\Users\joepk\Downloads\microgreens-erp\database\MicrogreensERP_Live_Milestone5.sqlite"
"9-9-2026 20:47:57","49152","C:\Users\joepk\Downloads\microgreens-erp\database\MicrogreensERP_Live_Milestone6.sqlite"
"9-9-2026 20:47:57","49152","C:\Users\joepk\Downloads\microgreens-erp\database\MicrogreensERP_Live_Milestone7.sqlite"
"9-9-2026 20:47:57","49152","C:\Users\joepk\Downloads\microgreens-erp\database\MicrogreensERP_Live_Milestone8.sqlite"
"9-9-2026 20:47:57","49152","C:\Users\joepk\Downloads\microgreens-erp\database\MicrogreensERP_Live_Milestone9.sqlite"
"9-9-2026 20:47:58","53248","C:\Users\joepk\Downloads\microgreens-erp\database\MicrogreensERP_v1_0.sqlite"
"9-9-2026 20:47:58","53248","C:\Users\joepk\Downloads\microgreens-erp\database\MicrogreensERP_v2_1_professional.sqlite"
"9-9-2026 23:47:17","107","C:\Users\joepk\Downloads\microgreens-erp\config\database_path.php"
"9-9-2026 23:47:50","8999","C:\Users\joepk\Downloads\microgreens-erp\public\add_batch.php"
"10-9-2026 07:39:57","5704","C:\Users\joepk\Downloads\microgreens-erp\public\add_batch_form.php"
"10-9-2026 07:40:51","4990","C:\Users\joepk\Downloads\microgreens-erp\public\add_inventory.php"
"12-9-2026 23:55:41","836","C:\Users\joepk\Downloads\microgreens-erp\.gitignore"
"13-9-2026 00:18:17","5291","C:\Users\joepk\Downloads\microgreens-erp\app\b10_iot_climate.php"
"13-9-2026 00:18:17","1676","C:\Users\joepk\Downloads\microgreens-erp\app\api_climate.php"
"13-9-2026 00:18:17","2887","C:\Users\joepk\Downloads\microgreens-erp\app\b09_customer_order.php"
"13-9-2026 00:18:17","0","C:\Users\joepk\Downloads\microgreens-erp\app\bxx_process.php"
"13-9-2026 00:18:17","1674","C:\Users\joepk\Downloads\microgreens-erp\app\bxx_module.php"
"13-9-2026 00:18:17","2019","C:\Users\joepk\Downloads\microgreens-erp\app\check_climate_watchdog.php"
"13-9-2026 00:18:17","2113","C:\Users\joepk\Downloads\microgreens-erp\app\dose_calculator.php"
"13-9-2026 00:18:17","585","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b01_seed_inventory.php"
"13-9-2026 00:18:17","579","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b04_lighting.php"
"13-9-2026 00:18:17","582","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b02_germination.php"
"13-9-2026 00:18:17","585","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b03_growth_chamber.php"
"13-9-2026 00:18:17","588","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b07_harvest_readiness.php"
"13-9-2026 00:18:17","581","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b05_irrigation.php"
"13-9-2026 00:18:17","589","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b06_climate_monitoring.php"
"13-9-2026 00:18:17","586","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b08_quality_control.php"
"13-9-2026 00:18:17","2887","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b09_customer_order.php"
"13-9-2026 00:18:17","5291","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b10_iot_climate.php"
"13-9-2026 00:18:17","579","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b12_cleaning.php"
"13-9-2026 00:18:17","580","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b11_packaging.php"
"13-9-2026 00:18:17","577","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b13_energy.php"
"13-9-2026 00:18:17","582","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b14_water_usage.php"
"13-9-2026 00:18:17","585","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b16_task_scheduler.php"
"13-9-2026 00:18:17","576","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b17_staff.php"
"13-9-2026 00:18:17","580","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b15_substrate.php"
"13-9-2026 00:18:17","579","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b18_supplier.php"
"13-9-2026 00:18:17","581","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b19_financials.php"
"13-9-2026 00:18:17","580","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b21_logistics.php"
"13-9-2026 00:18:17","576","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b20_waste.php"
"13-9-2026 00:18:17","582","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b22_maintenance.php"
"13-9-2026 00:18:17","575","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b23_sops.php"
"13-9-2026 00:18:17","586","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b24_sales_analytics.php"
"13-9-2026 00:18:17","588","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b25_customer_feedback.php"
"13-9-2026 00:18:17","586","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b26_system_settings.php"
"13-9-2026 00:18:17","587","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b27_api_integrations.php"
"13-9-2026 00:18:17","586","C:\Users\joepk\Downloads\microgreens-erp\app\modules\b28_watchdog_alerts.php"
"13-9-2026 00:18:17","522","C:\Users\joepk\Downloads\microgreens-erp\public\api\get_dose.php"
"13-9-2026 00:18:17","2105","C:\Users\joepk\Downloads\microgreens-erp\public\batches_overview.php"
"13-9-2026 00:18:17","2064","C:\Users\joepk\Downloads\microgreens-erp\public\settings\climate_toggle.php"
"13-9-2026 00:18:17","4265","C:\Users\joepk\Downloads\microgreens-erp\public\germination_tests.php"
"13-9-2026 10:36:06","6807","C:\Users\joepk\Downloads\microgreens-erp\public\index.php"
"13-9-2026 21:00:03","6002","C:\Users\joepk\Downloads\microgreens-erp\public\b01_batch.php"
"14-9-2026 10:33:50","0","C:\Users\joepk\Downloads\microgreens-erp\euria_local_changes_21days.csv"
